Oct-25	Supercomputing Wales (Cardiff/Bangor)
Oct-25	Isambard 3 supercomputer (GW4)
Nov-26	Supercomputing Wales (Swansea/Aberystwyth)
Nov-26	University of Aberystwyth
Nov-26	Wales Kidney Research Unit
Oct-25	University to Dundee
Oct-25	University of St Andrews
Nov-25	Workflowhub club (online)
Nov-25	FAIR Image Data Workflows (online) (Euro-Bioimaging)
Nov-25	WorkflowHub Publishers Forum (online)
Dec-25	India Bioimage Symposium (online)
Dec-25	James Hutton institute (Dundee)
Dec-25	FAIR Image Data Workflows (online) (Euro-Bioimaging)
Nov-25	GW4 (Cardiff, Bath, Bristol, Exeter)
Jan-26	RMS Newcastle
Oct-25	UK Dementia Research Institute (UK DRI) ECR Informatics Committee
Dec-25	UK Dementia Research Institute (UK DRI) BHF-UK Centre for Vascular Dementia Research
Dec-25	UK Dementia Research Institute (UK DRI) Parkinson's Research Centre
Dec-25	UK Dementia Research Institute (UK DRI) Cambridge
Dec-25	UK Dementia Research Institute (UK DRI) Cardiff
Dec-25	UK Dementia Research Institute (UK DRI) Edinburgh
Dec-25	UK Dementia Research Institute (UK DRI) Imperial
Dec-25	UK Dementia Research Institute (UK DRI) King's
Dec-25	UK Dementia Research Institute (UK DRI) UCL
Dec-25	UK Dementia Research Institute (UK DRI) Care Research and Technology Centre
Jan-26	WorkflowHub Community Call
Jan-26	University College London (Centre of biodiversity and the environment)
Feb-26	University of Dundee
Mar-26	Imperial College, London
Mar-26	ELIXIR-UK Training Club
Apr-26	BSCB NextGen - online seminar for ECRs
Mar-26	University of Liverpool
Mar-26	HDR-UK Glasgow
Apr-26	Euro-Biomaging Image Data Community Days (FAIR data days) (online)
Apr-26	Cambridge
Apr-26	London
May-26	Bristol
Mar-26	N8 Universities: Durham, Lancaster, Leeds, Liverpool, Manchester, Newcastle, Sheffield and York
Apr-26	EPSRC/N-CODE
May-26	UK Dementia Research Institute (UK DRI) BHF-UK Centre for Vascular Dementia Research
May-26	UK Dementia Research Institute (UK DRI) Parkinson's Research Centre
May-26	UK Dementia Research Institute (UK DRI) Cambridge
May-26	UK Dementia Research Institute (UK DRI) Cardiff
May-26	UK Dementia Research Institute (UK DRI) Edinburgh
May-26	UK Dementia Research Institute (UK DRI) Imperial
May-26	UK Dementia Research Institute (UK DRI) King's
May-26	UK Dementia Research Institute (UK DRI) UCL
May-26	UK Dementia Research Institute (UK DRI) Care Research and Technology Centre
Oct, 2025	Understanding Life (Understanding Life: Using Largescale Biodiversity Reference Genomes)
Oct, 2025	Bioinformatics MSc Lecture
Jan-26	Festival of genomics and biodata
Nov, 2025	OME-NGFF
Nov, 2025	Building a comprehensive and coordinated training landscape for dRTPs
Dec-25	British Ecology Society Conference
Dec-25	deNBI hackathon 2025
Feb-26	AIBIO-UK EMBL-EBI workshop
Jan-26	NorthernBUG15 meeting
Apr-26	BSCB/Biochemical Society Dynamic Cell VI Conference
Mar-26	Euro-BioImaging FAIR Image Data Workflows Expert Group
Mar-26	nf-core hackathon training
Mar-26	nf-core London local site hackathon
Feb-26	AIBIO-UK EMBL-EBI AI Data Readiness workshop
Mar-26	N8 UKRI digital research infrastrcuture retreat
Apr-26	Euro-Biomaging Image Data Community Days (FAIR data days) (online)
Mar-26	EMBL-EBI imaging course
Apr-26	EPSRC/N-CODE workshop - Wearables/EEG for Neurodegenerative Diseases
May-26	UK Dementia Research Institute FAIR Workshop
Apr-26	Cambridge ISCB Uk conference
