Subscribed	Location	Company
10/04/2026 15:12	United Kingdom	University of Oxford - IDDO
07/04/2026 10:11	United Kingdom	Mary Lyon Centre at MRC Harwell
27/03/2026 11:00	United Kingdom	University of Sheffield
05/03/2026 12:55	United Kingdom	Croydon Health Services NHS Trust
03/03/2026 23:14	Japan	archives of chinese academy of sciences
03/03/2026 12:33	United Kingdom	University of Sheffield
26/02/2026 12:01	United Kingdom	University of Portsmouth
19/02/2026 23:35	Australia	ARDC
19/02/2026 10:05	United Kingdom	Wellcome Sanger Institute
17/02/2026 16:29	United Kingdom	Dur
14/02/2026 18:39	United Kingdom	KCL
12/02/2026 18:04	United Kingdom	University of Manchester
09/02/2026 13:23	United States	University of Nottingham
31/01/2026 12:51	United Kingdom	National Police Chiefs' Council
27/01/2026 10:58	United Kingdom	University of Manchester
23/01/2026 10:58	United Kingdom	University of York
23/01/2026 10:42	United Kingdom	The Pirbright Institute
19/01/2026 15:50	United Kingdom	The James Hutton Institute
14/01/2026 16:15	United Kingdom	Home Office
11/01/2026 18:11	United Kingdom	The James Hutton Institute
07/01/2026 14:26	United Kingdom	UK Centre for Ecology & Hydrology
05/01/2026 11:42	United Kingdom	The University of Manchester
05/01/2026 11:11	United Kingdom	University of Edinburgh
11/12/2025 13:32	Ireland	
11/12/2025 13:32	United Kingdom	
11/12/2025 13:32	United Kingdom	
11/12/2025 13:31	United States	
11/12/2025 13:31	Australia	
11/12/2025 13:31		
11/12/2025 13:31	United Kingdom	
11/12/2025 13:31		
11/12/2025 13:31	United Kingdom	
11/12/2025 13:30	United Kingdom	
11/12/2025 13:29	United Kingdom	
11/12/2025 13:29	United Kingdom	
11/12/2025 13:29	United Kingdom	
11/12/2025 13:28		
11/12/2025 13:27	Netherlands	
11/12/2025 13:27	Netherlands	
11/12/2025 13:27	Egypt	
11/12/2025 13:26	United Kingdom	
11/12/2025 11:49	United Kingdom	Royal Botanic Garden Edinburgh
08/12/2025 8:46	United Kingdom	Manchester Metropolitan University
30/11/2025 08:55	Italy	British School at Rome
25/11/2025 11:55	United Kingdom	Hinxton, Cambridge, CB10 1SA (Wellcome Genome Campus)
19/11/2025 14:10	United Kingdom	University of Glasgow
13/11/2025 11:22	United Kingdom	
12/11/2025 10:11	United Kingdom	Earlham Institute
10/11/2025 14:09	United Kingdom	Francis Crick Institute
05/11/2025 17:20	United Kingdom	University of Edinburgh
04/11/2025 14:29	United States	Cancer Research UK Manchester Institute
03/11/2025 8:20	United Kingdom	MRC Harwell
31/10/2025 15:57	United Kingdom	BBSRC
30/10/2025 23:35	United Kingdom	The University of York
30/10/2025 10:06	United Kingdom	
27/10/2025 10:26	United Kingdom	Imperial College London
24/10/2025 14:16	United States	The University of Manchester
15/10/2025 15:02	United Kingdom	Cancer Research UK, Manchester, U.K.
09/10/2025 10:37	United Kingdom	Cancer Research UK Scotland Institute
06/10/2025 12:30	United Kingdom	Rosalind Franklin Institute
29/09/2025 08:29	Ireland	University of Edinburgh
22/09/2025 15:35	United Kingdom	UK Vegetable Genebank, University of Warwick
18/09/2025 12:43	United Kingdom	University of Glasgow
17/09/2025 14:20	United Kingdom	University of Southampton
12/09/2025 8:20	United Kingdom	Sano Genetics
11/09/2025 15:04	United Kingdom	Quotient Therapeutics
11/09/2025 14:53	United Kingdom	Molecule to Medicine
28/08/2025 15:25	United Kingdom	Digital Research Academy
25/08/2025 06:32	Australia	Australian BioCommons
13/08/2025 10:42	United Kingdom	EMBL-EBI
05/08/2025 15:17	United States	
05/08/2025 15:17	United States	
05/08/2025 15:17	Greece	
05/08/2025 15:17		
05/08/2025 15:17	United States	
05/08/2025 15:17	United States	
05/08/2025 15:17	United States	
05/08/2025 15:17	United States	
05/08/2025 15:17	United States	
05/08/2025 15:17	United States	
05/08/2025 15:17	United Kingdom	
05/08/2025 15:17	Ireland	
05/08/2025 15:17	United States	
05/08/2025 15:17	Turkey	
05/08/2025 15:17	Germany	
05/08/2025 15:17	Ireland	
05/08/2025 15:17	United Kingdom	
05/08/2025 15:17		
25/07/2025 08:34	United Kingdom	Rothamsted Research
24/07/2025 10:02	United Kingdom	University of liverpool
24/07/2025 09:57	United Kingdom	EMBL-EBI
24/07/2025 09:37	United Kingdom	Sygenta
24/07/2025 09:25	United Kingdom	CSIC
24/07/2025 09:20	United Kingdom	University of liverpool
24/07/2025 08:53	United Kingdom	The Institute of Mathematical Sciences
23/07/2025 15:24	United Kingdom	University of Glasgow
23/07/2025 15:15	United Kingdom	NIH
23/07/2025 15:09	United Kingdom	Universidad de Chile
23/07/2025 14:12	United Kingdom	University of Duisburg-ESSEN
23/07/2025 14:03	United Kingdom	Uwaterloo
23/07/2025 13:57	United Kingdom	RESTORE
23/07/2025 13:35	United Kingdom	SASTRA DEEMED UNIVERSITY
23/07/2025 13:10	United Kingdom	The institute of mathematical sciences
23/07/2025 13:05	United Kingdom	I2SysBio
23/07/2025 13:03	United Kingdom	Genomics of gene expression lab
23/07/2025 12:56	United Kingdom	Lilly
23/07/2025 12:30	United Kingdom	Sanger
23/07/2025 12:24	United Kingdom	Univ of Dallas
23/07/2025 10:03	India	SASTRA Deemed to be University
23/07/2025 10:02	United Kingdom	Sastra Deemed to be University
23/07/2025 09:25	United Kingdom	South Korea
23/07/2025 08:40	United Kingdom	University of KwaZulu-Natal, South Africa
22/07/2025 16:27	United Kingdom	Atlantic Cancer Research Institute
22/07/2025 16:04	Germany	Hips
22/07/2025 15:57	United Kingdom	
22/07/2025 15:42	United Kingdom	
22/07/2025 15:34	United Kingdom	EMBL-EBI
22/07/2025 15:32	France	INRAE
22/07/2025 15:26	United Kingdom	UCL
22/07/2025 15:22	United Kingdom	Butantan institute
22/07/2025 15:20	United Kingdom	Koc university
22/07/2025 15:16	United Kingdom	ASTRAZENECA
22/07/2025 15:15	United Kingdom	Koc university
22/07/2025 15:15	United Kingdom	Koc university
22/07/2025 15:02	United Kingdom	Landmark university
22/07/2025 14:57	United Kingdom	Kaust
22/07/2025 14:29	United Kingdom	UCL Berkeley
22/07/2025 14:23	United Kingdom	Dkfz
